id,listing_url,scrape_id,last_scraped,host_id,neighbourhood,neighbourhood_cleansed,city,state,zipcode,market,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,pastBooking,Average Weekly Earning,
7712235,https://www.airbnb.com/rooms/7712235,2.02E+13,4/2/17,894764,Outer Sunset,Outer Sunset,San Francisco,CA,94116,San Francisco,US,United States,37.74550467,-122.5052897,House,Entire home/apt,5,1,2,3,Real Bed,,190.00,,,,,1,0.00,1,1125,13 months ago,0,0,0,0,4/2/17,365,8.173076923,
1615158,https://www.airbnb.com/rooms/1615158,2.02E+13,4/2/17,8597535,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75578278,-122.498341,House,Private room,3,1,1,1,Real Bed,,85.00,547.00,1932.00,,40.00,1,20.00,1,1125,today,8,24,51,321,4/2/17,44,1333.653846,
10972560,https://www.airbnb.com/rooms/10972560,2.02E+13,4/2/17,56929325,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76374774,-122.5066198,Apartment,Entire home/apt,6,2,3,3,Real Bed,,1100.00,,,500.00,,1,0.00,1,1125,14 months ago,0,0,0,0,4/2/17,365,71.92307692,
17444005,https://www.airbnb.com/rooms/17444005,2.02E+13,4/2/17,118057447,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76071668,-122.5080865,Apartment,Entire home/apt,4,1,1,2,Real Bed,,169.00,,,100.00,50.00,1,0.00,2,27,today,12,32,46,305,4/2/17,60,7721.153846,
13511841,https://www.airbnb.com/rooms/13511841,2.02E+13,4/2/17,1383366,Outer Sunset,Outer Sunset,San Francisco,CA,94116,South Bay,US,United States,37.74817535,-122.501154,House,Entire home/apt,4,2,3,2,Real Bed,,350.00,,,500.00,130.00,1,0.00,14,31,2 months ago,27,57,87,87,4/2/17,278,195,
15149013,https://www.airbnb.com/rooms/15149013,2.02E+13,4/2/17,7942039,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75242103,-122.4998404,House,Private room,2,2,1,1,Real Bed,,89.00,,,,20.00,1,0.00,1,1125,6 months ago,29,59,89,179,4/2/17,186,1871.153846,
12741695,https://www.airbnb.com/rooms/12741695,2.02E+13,4/2/17,40902220,,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76068614,-122.5028289,House,Private room,4,1,1,2,Real Bed,,109.00,,,,25.00,2,25.00,1,30,today,4,10,22,237,4/2/17,128,318.3461538,
8842990,https://www.airbnb.com/rooms/8842990,2.02E+13,4/2/17,4746287,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75097871,-122.5033021,House,Private room,2,1,1,1,Real Bed,,90.00,,,,30.00,1,0.00,3,1125,16 months ago,0,0,0,0,4/2/17,365,268.3076923,
982298,https://www.airbnb.com/rooms/982298,2.02E+13,4/2/17,5380962,Outer Sunset,Outer Sunset,San Francisco,CA,94116,San Francisco,US,United States,37.74984269,-122.5085211,House,Entire home/apt,9,2,4,5,Real Bed,,495.00,,,600.00,195.00,5,60.00,2,28,today,24,48,74,335,4/2/17,30,631.7307692,
14118533,https://www.airbnb.com/rooms/14118533,2.02E+13,4/2/17,6529552,,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.7583197,-122.5107562,Apartment,Entire home/apt,4,1,1,2,Real Bed,,161.00,,,500.00,100.00,2,25.00,2,1125,a week ago,0,22,52,327,4/2/17,38,285.5769231,
8859249,https://www.airbnb.com/rooms/8859249,2.02E+13,4/2/17,46379226,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76419494,-122.4909166,Apartment,Entire home/apt,3,1,1,1,Real Bed,,150.00,,,500.00,60.00,2,20.00,2,1125,yesterday,15,30,60,320,4/2/17,45,117.6538462,
4287481,https://www.airbnb.com/rooms/4287481,2.02E+13,4/2/17,357468,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.76295281,-122.4832434,Apartment,Entire home/apt,4,1,1,2,Real Bed,,140.00,800.00,,500.00,60.00,2,10.00,2,21,yesterday,2,9,23,262,4/2/17,103,129.8076923,
2747383,https://www.airbnb.com/rooms/2747383,2.02E+13,4/2/17,12449463,Outer Sunset,Outer Sunset,San Francisco,CA,94122,San Francisco,US,United States,37.75966254,-122.508496,Apartment,Entire home/apt,6,1,2,3,Real Bed,,295.00,,,400.00,75.00,4,25.00,2,1125,3 days ago,11,40,57,317,4/2/17,48,277.3076923,
